id,prediction
1,3
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,3
10,0
11,3
12,4
13,3
14,3
15,0
16,2
17,2
18,4
19,3
20,3
21,2
22,2
23,0
24,0
25,0
26,3
27,2
28,0
29,4
30,4
31,3
32,2
33,4
34,4
35,2
36,2
37,0
38,2
39,1
40,0
41,1
42,2
43,4
44,4
45,3
46,0
47,3
48,3
49,1
50,3
51,1
52,2
53,4
54,0
55,1
56,4
57,3
58,0
59,0
60,0
61,4
62,1
63,3
64,0
65,1
66,2
67,2
68,1
69,2
70,0
71,3
72,2
73,3
74,4
75,3
76,4
77,4
78,1
79,2
80,1
81,2
82,0
83,3
84,3
85,3
86,4
87,1
88,2
89,2
90,0
91,4
92,2
93,2
94,3
95,4
96,1
97,0
98,4
99,4
100,1
101,1
102,2
103,3
104,4
105,3
106,3
107,3
108,0
109,3
110,1
111,1
112,4
113,4
114,3
115,4
116,0
117,1
118,1
119,1
120,2
121,3
122,3
123,3
124,1
125,3
126,2
127,3
128,1
129,3
130,3
131,3
132,2
133,3
134,0
135,4
136,4
137,3
138,2
139,2
140,2
141,4
142,4
143,4
144,3
145,2
146,3
147,0
148,4
149,3
150,0
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,4
159,3
160,3
161,2
162,3
163,2
164,1
165,4
166,3
167,3
168,0
169,1
170,3
171,3
172,3
173,0
174,1
175,3
176,2
177,3
178,0
179,1
180,0
181,4
182,1
183,0
184,2
185,4
186,3
187,3
188,4
189,2
190,2
191,2
192,4
193,2
194,3
195,2
196,3
197,2
198,2
199,3
200,1
201,2
202,2
203,2
204,2
205,4
206,0
207,4
208,0
209,3
210,3
211,1
212,1
213,3
214,2
215,2
216,0
217,3
218,0
219,4
220,4
221,2
222,1
223,2
224,3
225,1
226,0
227,4
228,0
229,1
230,4
231,4
232,3
233,0
234,2
235,3
236,2
237,4
238,1
239,1
240,2
241,4
242,2
243,4
244,4
245,3
246,4
247,3
248,2
249,2
250,4
251,1
252,3
253,4
254,4
255,2
256,4
257,1
258,1
259,4
260,3
261,2
262,3
263,4
264,0
265,0
266,3
267,2
268,4
269,2
270,1
271,3
272,2
273,0
274,3
275,4
276,2
277,1
278,4
279,4
280,0
281,3
282,2
283,1
284,4
285,4
286,1
287,2
288,4
289,2
290,1
291,3
292,4
293,3
294,0
295,3
296,2
297,0
298,3
299,2
300,3
301,0
302,2
303,0
304,0
305,1
306,1
307,0
308,1
309,3
310,2
311,3
312,2
313,0
314,1
315,4
316,0
317,3
318,3
319,4
320,4
321,2
322,4
323,2
324,4
325,0
326,4
327,2
328,4
329,1
330,3
331,0
332,2
333,4
334,1
335,0
336,0
337,2
338,1
339,1
340,3
341,2
342,0
343,2
344,2
345,4
346,4
347,1
348,0
349,4
350,2
351,4
352,3
353,4
354,4
355,1
356,3
357,2
358,0
359,3
360,3
361,0
362,0
363,4
364,3
365,3
366,1
367,3
368,2
369,3
370,0
371,4
372,2
373,1
374,4
375,2
376,2
377,2
378,0
379,4
380,2
381,2
382,2
383,2
384,0
385,3
386,0
387,1
388,4
389,4
390,1
391,1
392,1
393,0
394,1
395,2
396,4
397,4
398,4
399,0
400,4
401,2
402,2
403,1
404,0
405,0
406,1
407,0
408,3
409,0
410,3
411,2
412,1
413,1
414,1
415,4
416,3
417,4
418,1
419,0
420,0
421,3
422,1
423,0
424,0
425,2
426,1
427,1
428,4
429,4
430,4
431,4
432,2
433,0
434,1
435,2
436,2
437,4
438,1
439,1
440,0
441,2
442,0
443,3
444,2
445,4
446,2
447,3
448,0
449,1
450,4
451,4
452,3
453,1
454,4
455,4
456,3
457,2
458,1
459,0
460,1
461,4
462,0
